Model ; X100+Option
Layout Type ; 0
Data Offset ; 23
Date ; 2019-08-05
Time ; 15:01:05

Time Base ; 5 ms/div
Sensitivity ; 500 uV/div
Pan ; 0 ms
Curve no ; 0
Common BaseLine ; Off
Lower Frequency Limit ; 100 Hz
Upper Frequency Limit ; 5 kHz
Trigger Mode ; Stimulus

Curve no ; 1
Session Id ; 0
Entry Id ; 0
Data Code ; 1
Amplitude (%) ; 0
di/dt (A/us) ; 0
(us) ; (uV)
0 ; 0
125 ; 0
250 ; 0
375 ; 0
500 ; 0
625 ; 0
750 ; 0
875 ; 0
1000 ; 0
1125 ; 0
1250 ; 0
1375 ; 0
1500 ; 0
1625 ; 0
1750 ; 0
1875 ; 0
2000 ; 0
2125 ; 0
2250 ; 0
2375 ; 0
2500 ; 0
2625 ; 0
2750 ; 0
2875 ; 0
3000 ; 0
3125 ; 0
3250 ; 0
3375 ; 0
3500 ; 0
3625 ; 0
3750 ; 0
3875 ; 0
4000 ; 0
4125 ; 0
4250 ; 0
4375 ; 0
4500 ; 0
4625 ; 0
4750 ; 0
4875 ; 0
5000 ; 0
5125 ; 0
5250 ; 0
5375 ; 0
5500 ; 0
5625 ; 0
5750 ; 0
5875 ; 0
6000 ; 0
6125 ; 0
6250 ; 0
6375 ; 0
6500 ; 0
6625 ; 0
6750 ; 0
6875 ; 0
7000 ; 0
7125 ; 0
7250 ; 0
7375 ; 0
7500 ; 0
7625 ; 0
7750 ; 0
7875 ; 0
8000 ; 0
8125 ; 0
8250 ; 0
8375 ; 0
8500 ; 0
8625 ; 0
8750 ; 0
8875 ; 0
9000 ; 0
9125 ; 0
9250 ; 0
9375 ; 0
9500 ; 0
9625 ; 0
9750 ; 0
9875 ; 0
10000 ; 0
10125 ; 0
10250 ; 0
10375 ; 0
10500 ; 0
10625 ; 0
10750 ; 0
10875 ; 0
11000 ; 0
11125 ; 0
11250 ; 0
11375 ; 0
11500 ; 0
11625 ; 0
11750 ; 0
11875 ; 0
12000 ; 0
12125 ; 0
12250 ; 0
12375 ; 0
12500 ; 0
12625 ; 0
12750 ; 0
12875 ; 0
13000 ; 0
13125 ; 0
13250 ; 0
13375 ; 0
13500 ; 0
13625 ; 0
13750 ; 0
13875 ; 0
14000 ; 0
14125 ; 0
14250 ; 0
14375 ; 0
14500 ; 0
14625 ; 0
14750 ; 0
14875 ; 0
15000 ; 0
15125 ; 0
15250 ; 0
15375 ; 0
15500 ; 0
15625 ; 0
15750 ; 0
15875 ; 0
16000 ; 0
16125 ; 0
16250 ; 0
16375 ; 0
16500 ; 0
16625 ; 0
16750 ; 0
16875 ; 0
17000 ; 0
17125 ; 0
17250 ; 0
17375 ; 0
17500 ; 0
17625 ; 0
17750 ; 0
17875 ; 0
18000 ; 0
18125 ; 0
18250 ; 0
18375 ; 0
18500 ; 0
18625 ; 0
18750 ; 0
18875 ; 0
19000 ; 0
19125 ; 0
19250 ; 0
19375 ; 0
19500 ; 0
19625 ; 0
19750 ; 0
19875 ; 0
20000 ; 0
20125 ; 0
20250 ; 0
20375 ; 0
20500 ; 0
20625 ; 0
20750 ; 0
20875 ; 0
21000 ; 0
21125 ; 0
21250 ; 0
21375 ; 0
21500 ; 0
21625 ; 0
21750 ; 0
21875 ; 0
22000 ; 0
22125 ; 0
22250 ; 0
22375 ; 0
22500 ; 0
22625 ; 0
22750 ; 0
22875 ; 0
23000 ; 0
23125 ; 0
23250 ; 0
23375 ; 0
23500 ; 0
23625 ; 0
23750 ; 0
23875 ; 0
24000 ; 0
24125 ; 0
24250 ; 0
24375 ; 0
24500 ; 0
24625 ; 0
24750 ; 0
24875 ; 0
25000 ; 0
25125 ; 0
25250 ; 0
25375 ; 0
25500 ; 0
25625 ; 0
25750 ; 0
25875 ; 0
26000 ; 0
26125 ; 0
26250 ; 0
26375 ; 0
26500 ; 0
26625 ; 0
26750 ; 0
26875 ; 0
27000 ; 0
27125 ; 0
27250 ; 0
27375 ; 0
27500 ; 0
27625 ; 0
27750 ; 0
27875 ; 0
28000 ; 0
28125 ; 0
28250 ; 0
28375 ; 0
28500 ; 0
28625 ; 0
28750 ; 0
28875 ; 0
29000 ; 0
29125 ; 0
29250 ; 0
29375 ; 0
29500 ; 0
29625 ; 0
29750 ; 0
29875 ; 0
30000 ; 0
30125 ; 0
30250 ; 0
30375 ; 0
30500 ; 0
30625 ; 0
30750 ; 0
30875 ; 0
31000 ; 0
31125 ; 0
31250 ; 0
31375 ; 0
31500 ; 0
31625 ; 0
31750 ; 0
31875 ; 0
32000 ; 0
32125 ; 0
32250 ; 0
32375 ; 0
32500 ; 0
32625 ; 0
32750 ; 0
32875 ; 0
33000 ; 0
33125 ; 0
33250 ; 0
33375 ; 0
33500 ; 0
33625 ; 0
33750 ; 0
33875 ; 0
34000 ; 0
34125 ; 0
34250 ; 0
34375 ; 0
34500 ; 0
34625 ; 0
34750 ; 0
34875 ; 0
35000 ; 0
35125 ; 0
35250 ; 0
35375 ; 0
35500 ; 0
35625 ; 0
35750 ; 0
35875 ; 0
36000 ; 0
36125 ; 0
36250 ; 0
36375 ; 0
36500 ; 0
36625 ; 0
36750 ; 0
36875 ; 0
37000 ; 0
37125 ; 0
37250 ; 0
37375 ; 0
37500 ; 0
37625 ; 0
37750 ; 0
37875 ; 0
38000 ; 0
38125 ; 0
38250 ; 0
38375 ; 0
38500 ; 0
38625 ; 0
38750 ; 0
38875 ; 0
39000 ; 0
39125 ; 0
39250 ; 0
39375 ; 0
39500 ; 0
39625 ; 0
39750 ; 0
39875 ; 0
40000 ; 0
40125 ; 0
40250 ; 0
40375 ; 0
40500 ; 0
40625 ; 0
40750 ; 0
40875 ; 0
41000 ; 0
41125 ; 0
41250 ; 0
41375 ; 0
41500 ; 0
41625 ; 0
41750 ; 0
41875 ; 0
42000 ; 0
42125 ; 0
42250 ; 0
42375 ; 0
42500 ; 0
42625 ; 0
42750 ; 0
42875 ; 0
43000 ; 0
43125 ; 0
43250 ; 0
43375 ; 0
43500 ; 0
43625 ; 0
43750 ; 0
43875 ; 0
44000 ; 0
44125 ; 0
44250 ; 0
44375 ; 0
44500 ; 0
44625 ; 0
44750 ; 0
44875 ; 0
45000 ; 0
45125 ; 0
45250 ; 0
45375 ; 0
45500 ; 0
45625 ; 0
45750 ; 0
45875 ; 0
46000 ; 0
46125 ; 0
46250 ; 0
46375 ; 0
46500 ; 0
46625 ; 0
46750 ; 0
46875 ; 0
47000 ; 0
47125 ; 0
47250 ; 0
47375 ; 0
47500 ; 0
47625 ; 0
47750 ; 0
47875 ; 0
48000 ; 0
48125 ; 0
48250 ; 0
48375 ; 0
48500 ; 0
48625 ; 0
48750 ; 0
48875 ; 0
49000 ; 0
49125 ; 0
49250 ; 0
49375 ; 0
49500 ; 0
49625 ; 0
49750 ; 0
49875 ; 0
