Model ; X100+Option
Layout Type ; 0
Data Offset ; 23
Date ; 2019-08-06
Time ; 11:29:43

Time Base ; 5 ms/div
Sensitivity ; 100 uV/div
Pan ; 0 ms
Curve no ; 1-10
Common BaseLine ; Off
Lower Frequency Limit ; 1 Hz
Upper Frequency Limit ; 1 kHz
Trigger Mode ; Stimulus

Curve no ; 1 ; 2 ; 3 ; 4 ; 5 ; 6 ; 7 ; 8 ; 9 ; 10
Session Id ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
Entry Id ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
Data Code ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1
Amplitude (%) ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
di/dt (A/us) ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
(us) ; (uV) ; (uV) ; (uV) ; (uV) ; (uV) ; (uV) ; (uV) ; (uV) ; (uV) ; (uV)
0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
125 ; -300 ; -300 ; -300 ; -305 ; -300 ; -305 ; -305 ; -300 ; -300 ; -295
250 ; 15 ; 15 ; 15 ; 15 ; 15 ; -40 ; 15 ; 15 ; 30 ; 25
375 ; 15 ; 20 ; 10 ; 20 ; 15 ; -135 ; 25 ; 30 ; 35 ; 30
500 ; 5 ; 15 ; -5 ; 10 ; 5 ; -190 ; 15 ; 20 ; 25 ; 20
625 ; 0 ; 10 ; -10 ; 10 ; 0 ; -220 ; 10 ; 15 ; 15 ; 15
750 ; -5 ; 10 ; -15 ; 5 ; -5 ; -230 ; 5 ; 10 ; 10 ; 10
875 ; -5 ; 5 ; -15 ; 0 ; -5 ; -240 ; 0 ; 10 ; 5 ; 10
1000 ; -5 ; 5 ; -20 ; 0 ; 0 ; -240 ; 0 ; 10 ; 5 ; 5
1125 ; -5 ; 5 ; -20 ; 0 ; 0 ; -245 ; 0 ; 5 ; 5 ; 5
1250 ; -10 ; 5 ; -25 ; 0 ; 5 ; -245 ; -5 ; 5 ; 0 ; 5
1375 ; -10 ; 0 ; -25 ; 5 ; 5 ; -245 ; -5 ; 0 ; 0 ; 0
1500 ; -10 ; 0 ; -25 ; 5 ; 5 ; -245 ; -5 ; 5 ; 0 ; 5
1625 ; -10 ; 0 ; -25 ; 5 ; 10 ; -245 ; 0 ; 0 ; 0 ; 0
1750 ; -10 ; 0 ; -25 ; 5 ; 10 ; -245 ; -5 ; 0 ; 0 ; 0
1875 ; -10 ; 0 ; -25 ; 5 ; 10 ; -250 ; -5 ; 0 ; 0 ; 0
2000 ; -10 ; 0 ; -25 ; 5 ; 5 ; -250 ; -5 ; 0 ; 0 ; 0
2125 ; -10 ; 0 ; -30 ; 5 ; 5 ; -250 ; -5 ; -5 ; 0 ; 0
2250 ; -10 ; 0 ; -30 ; 5 ; 0 ; -250 ; -5 ; 0 ; 0 ; 0
2375 ; -10 ; 0 ; -30 ; 5 ; 0 ; -250 ; -5 ; -5 ; 0 ; 0
2500 ; -10 ; 0 ; -30 ; 5 ; -5 ; -250 ; -5 ; -5 ; 0 ; 0
2625 ; -10 ; 0 ; -30 ; 5 ; -10 ; -250 ; -5 ; -5 ; 0 ; 0
2750 ; -10 ; 0 ; -30 ; 5 ; -10 ; -250 ; -5 ; -5 ; 0 ; 0
2875 ; -10 ; 0 ; -30 ; 5 ; -15 ; -250 ; -5 ; -5 ; 0 ; 0
3000 ; -10 ; 0 ; -30 ; 5 ; -15 ; -250 ; -5 ; -5 ; 0 ; 0
3125 ; -10 ; 0 ; -30 ; 5 ; -15 ; -250 ; -5 ; -5 ; 0 ; 0
3250 ; -10 ; 0 ; -30 ; 5 ; -15 ; -250 ; -5 ; -5 ; 0 ; 0
3375 ; -10 ; 0 ; -30 ; 0 ; -15 ; -250 ; -5 ; -5 ; 0 ; 0
3500 ; -10 ; 0 ; -30 ; 0 ; -15 ; -250 ; -5 ; -5 ; 0 ; 0
3625 ; -10 ; -5 ; -35 ; 0 ; -15 ; -250 ; -10 ; -5 ; 0 ; 0
3750 ; -10 ; -5 ; -35 ; 0 ; -15 ; -250 ; -10 ; -5 ; 0 ; 0
3875 ; -10 ; -5 ; -30 ; 0 ; -15 ; -250 ; -10 ; -5 ; 0 ; 0
4000 ; -10 ; -5 ; -35 ; -5 ; -15 ; -250 ; -10 ; -5 ; 0 ; 0
4125 ; -10 ; -5 ; -35 ; -5 ; -15 ; -245 ; -10 ; -5 ; 0 ; 0
4250 ; -10 ; -5 ; -35 ; -5 ; -15 ; -245 ; -10 ; -5 ; 0 ; 0
4375 ; -5 ; -5 ; -35 ; -5 ; -15 ; -245 ; -10 ; -5 ; 0 ; 0
4500 ; -5 ; -5 ; -35 ; -5 ; -15 ; -245 ; -10 ; -5 ; 0 ; 0
4625 ; -5 ; -5 ; -35 ; -5 ; -15 ; -245 ; -10 ; -5 ; 0 ; 0
4750 ; -5 ; -5 ; -35 ; -5 ; -15 ; -245 ; -10 ; -10 ; 0 ; 0
4875 ; -5 ; -5 ; -35 ; -5 ; -15 ; -245 ; -10 ; -5 ; 0 ; 0
5000 ; -5 ; -5 ; -35 ; -5 ; -15 ; -245 ; -10 ; -5 ; 0 ; 0
5125 ; -5 ; -5 ; -35 ; -5 ; -15 ; -245 ; -15 ; -5 ; 0 ; 0
5250 ; -5 ; -5 ; -35 ; -5 ; -15 ; -245 ; -10 ; -5 ; 5 ; 0
5375 ; -5 ; -5 ; -35 ; -5 ; -15 ; -245 ; -10 ; -5 ; 0 ; 0
5500 ; -5 ; -5 ; -35 ; -5 ; -15 ; -245 ; -10 ; -5 ; 0 ; 0
5625 ; -5 ; 0 ; -35 ; 0 ; -15 ; -245 ; -15 ; -5 ; 0 ; 0
5750 ; -5 ; 0 ; -35 ; -5 ; -15 ; -245 ; -10 ; -10 ; 5 ; 0
5875 ; -5 ; 0 ; -35 ; 0 ; -15 ; -245 ; -15 ; -10 ; 5 ; 0
6000 ; -5 ; -5 ; -35 ; -5 ; -15 ; -245 ; -15 ; -10 ; 5 ; -5
6125 ; -5 ; -5 ; -35 ; 0 ; -15 ; -245 ; -15 ; -10 ; 0 ; 0
6250 ; -5 ; -5 ; -35 ; 0 ; -15 ; -245 ; -10 ; -10 ; 5 ; -5
6375 ; -5 ; -5 ; -35 ; 0 ; -15 ; -245 ; -15 ; -10 ; 5 ; -5
6500 ; -5 ; -5 ; -35 ; 0 ; -15 ; -245 ; -10 ; -10 ; 5 ; -5
6625 ; -5 ; -5 ; -35 ; 0 ; -15 ; -245 ; -15 ; -10 ; 0 ; -5
6750 ; -5 ; -5 ; -40 ; 0 ; -10 ; -245 ; -15 ; -10 ; 5 ; -5
6875 ; -5 ; -5 ; -40 ; 0 ; -15 ; -245 ; -15 ; -10 ; 0 ; -10
