Model ; X100+Option
Layout Type ; 0
Data Offset ; 23
Date ; 2019-07-09
Time ; 16:40:49

Time Base ; 1 ms/div
Sensitivity ; 500 uV/div
Pan ; 0 ms
Curve no ; 10
Common BaseLine ; Off
Lower Frequency Limit ; 100 Hz
Upper Frequency Limit ; 5 kHz
Trigger Mode ; Stimulus

Curve no ; 10
Session Id ; 0
Entry Id ; 0
Data Code ; 1
Amplitude (%) ; 0
di/dt (A/us) ; 0
(us) ; (uV)
0 ; 0
25 ; -25
50 ; -25
75 ; -25
100 ; -50
125 ; -25
150 ; 25
175 ; 25
200 ; 25
225 ; 0
250 ; -25
275 ; -25
300 ; 0
325 ; 0
350 ; -25
375 ; -25
400 ; 0
425 ; 0
450 ; -25
475 ; 0
500 ; 0
525 ; 0
550 ; 0
575 ; 0
600 ; 0
625 ; -25
650 ; -25
675 ; -25
700 ; -25
725 ; -25
750 ; 0
775 ; 0
800 ; 0
825 ; 0
850 ; 0
875 ; 0
900 ; 0
925 ; 0
950 ; 0
975 ; 0
1000 ; 0
1025 ; 0
1050 ; 25
1075 ; 0
1100 ; 0
1125 ; 0
1150 ; 0
1175 ; 0
1200 ; 0
1225 ; 0
1250 ; 0
1275 ; -25
1300 ; -25
1325 ; -25
1350 ; -25
1375 ; -25
1400 ; -25
1425 ; -50
1450 ; -50
1475 ; -25
1500 ; -25
1525 ; 0
1550 ; 25
1575 ; 0
1600 ; -25
1625 ; -25
1650 ; -25
1675 ; 0
1700 ; -25
1725 ; -25
1750 ; 0
1775 ; -25
1800 ; 0
1825 ; 0
1850 ; 0
1875 ; 25
1900 ; 25
1925 ; 25
1950 ; -25
1975 ; -25
2000 ; 0
2025 ; 0
2050 ; 0
2075 ; 0
2100 ; 0
2125 ; -25
2150 ; 0
2175 ; -25
2200 ; 0
2225 ; -25
2250 ; -25
2275 ; -25
2300 ; 0
2325 ; 0
2350 ; 0
2375 ; 0
2400 ; 0
2425 ; -25
2450 ; -25
2475 ; -25
2500 ; -25
2525 ; 0
2550 ; -25
2575 ; -25
2600 ; 0
2625 ; 0
2650 ; 0
2675 ; 0
2700 ; -25
2725 ; 0
2750 ; 0
2775 ; 0
2800 ; -25
2825 ; -25
2850 ; -25
2875 ; -25
2900 ; -25
2925 ; -25
2950 ; -25
2975 ; -25
3000 ; 0
3025 ; 0
3050 ; 0
3075 ; -25
3100 ; -50
3125 ; -50
3150 ; -25
3175 ; -25
3200 ; -25
3225 ; -25
3250 ; -25
3275 ; -25
3300 ; 0
3325 ; -25
3350 ; 0
3375 ; 0
3400 ; 0
3425 ; -25
3450 ; -50
3475 ; -25
3500 ; 0
3525 ; -25
3550 ; -25
3575 ; -25
3600 ; -25
3625 ; -25
3650 ; 0
3675 ; 0
3700 ; 0
3725 ; 0
3750 ; 0
3775 ; 0
3800 ; 0
3825 ; 0
3850 ; 0
3875 ; 0
3900 ; 25
3925 ; 25
3950 ; 25
3975 ; 25
4000 ; 0
4025 ; -25
4050 ; -25
4075 ; 0
4100 ; 0
4125 ; 25
4150 ; 0
4175 ; 25
4200 ; 25
4225 ; 0
4250 ; -25
4275 ; -25
4300 ; -25
4325 ; -25
4350 ; -25
4375 ; 0
4400 ; 0
4425 ; 0
4450 ; 0
4475 ; 0
4500 ; 0
4525 ; 0
4550 ; 0
4575 ; -25
4600 ; -25
4625 ; 0
4650 ; 0
4675 ; 0
4700 ; 0
4725 ; 0
4750 ; 0
4775 ; -25
4800 ; -25
4825 ; -25
4850 ; -25
4875 ; -25
4900 ; 0
4925 ; -25
4950 ; -50
4975 ; -75
5000 ; -25
5025 ; -25
5050 ; -50
5075 ; -50
5100 ; -75
5125 ; -50
5150 ; -50
5175 ; -25
5200 ; -25
5225 ; 0
5250 ; 0
5275 ; -25
5300 ; -25
5325 ; -25
5350 ; -25
5375 ; 0
5400 ; 0
5425 ; 0
5450 ; 0
5475 ; 0
5500 ; 0
5525 ; 0
5550 ; 0
5575 ; 0
5600 ; 0
5625 ; 0
5650 ; -25
5675 ; 0
5700 ; 0
5725 ; 0
5750 ; 0
5775 ; -25
5800 ; 25
5825 ; 25
5850 ; 0
5875 ; 0
5900 ; 0
5925 ; -25
5950 ; -25
5975 ; 0
6000 ; 25
6025 ; 0
6050 ; 0
6075 ; 0
6100 ; 0
6125 ; 0
6150 ; -25
6175 ; -25
6200 ; 0
6225 ; 0
6250 ; 0
6275 ; 0
6300 ; -25
6325 ; -50
6350 ; -25
6375 ; -25
6400 ; -25
6425 ; -25
6450 ; 0
6475 ; 25
6500 ; 25
6525 ; 25
6550 ; -25
6575 ; -25
6600 ; 0
6625 ; 0
6650 ; 25
6675 ; 25
6700 ; 0
6725 ; 0
6750 ; 0
6775 ; 0
6800 ; -25
6825 ; -25
6850 ; -25
6875 ; -25
6900 ; -50
6925 ; -50
6950 ; -25
6975 ; 0
7000 ; -25
7025 ; -25
7050 ; -25
7075 ; -25
7100 ; -25
7125 ; -25
7150 ; -25
7175 ; -25
7200 ; -25
7225 ; -25
7250 ; 0
7275 ; -25
7300 ; -25
7325 ; -25
7350 ; 25
7375 ; 25
7400 ; 0
7425 ; 0
7450 ; -25
7475 ; -50
7500 ; -50
7525 ; -25
7550 ; -25
7575 ; -25
7600 ; -25
7625 ; -25
7650 ; -25
7675 ; -25
7700 ; -25
7725 ; -25
7750 ; 0
7775 ; 25
7800 ; 50
7825 ; 50
7850 ; 0
7875 ; -25
7900 ; 0
7925 ; 0
7950 ; 0
7975 ; -25
8000 ; -25
8025 ; -25
8050 ; -25
8075 ; 0
8100 ; -25
8125 ; -25
8150 ; -25
8175 ; -25
8200 ; -50
8225 ; -25
8250 ; -25
8275 ; -25
8300 ; -25
8325 ; -25
8350 ; -25
8375 ; -50
8400 ; -50
8425 ; -25
8450 ; 0
8475 ; 25
8500 ; 0
8525 ; 0
8550 ; -50
8575 ; -50
8600 ; -25
8625 ; -25
8650 ; -25
8675 ; -50
8700 ; -50
8725 ; -25
8750 ; -25
8775 ; 0
8800 ; 0
8825 ; 0
8850 ; 0
8875 ; -25
8900 ; 0
8925 ; 0
8950 ; -25
8975 ; -25
9000 ; 0
9025 ; 0
9050 ; -25
9075 ; -25
9100 ; -25
9125 ; -25
9150 ; -25
9175 ; 0
9200 ; 0
9225 ; 0
9250 ; 0
9275 ; 25
9300 ; 25
9325 ; 0
9350 ; -25
9375 ; -25
9400 ; -25
9425 ; -25
9450 ; 0
9475 ; 0
9500 ; -25
9525 ; -25
9550 ; -25
9575 ; -25
9600 ; -25
9625 ; -25
9650 ; -25
9675 ; -25
9700 ; -50
9725 ; -25
9750 ; 0
9775 ; 0
9800 ; 0
9825 ; -25
9850 ; -25
9875 ; -25
9900 ; 0
9925 ; 0
9950 ; -25
9975 ; -50
