Model ; X100+Option
Layout Type ; 0
Data Offset ; 23
Date ; 2019-07-09
Time ; 17:22:13

Time Base ; 5 ms/div
Sensitivity ; 50 uV/div
Pan ; 0 ms
Curve no ; 1-5
Common BaseLine ; Off
Lower Frequency Limit ; 100 Hz
Upper Frequency Limit ; 5 kHz
Trigger Mode ; Stimulus

Curve no ; 1 ; 2 ; 3 ; 4 ; 5
Session Id ; 0 ; 0 ; 0 ; 0 ; 0
Entry Id ; 0 ; 0 ; 0 ; 0 ; 0
Data Code ; 1 ; 1 ; 1 ; 1 ; 1
Amplitude (%) ; 0 ; 0 ; 0 ; 0 ; 0
di/dt (A/us) ; 0 ; 0 ; 0 ; 0 ; 0
(us) ; (uV) ; (uV) ; (uV) ; (uV) ; (uV)
0 ; 0 ; 0 ; 0 ; 0 ; 0
125 ; 300 ; 15 ; -320 ; -320 ; -320
250 ; -100 ; -25 ; 5 ; -40 ; -20
375 ; 25 ; -15 ; -40 ; -55 ; -60
500 ; 20 ; -5 ; 20 ; 0 ; -5
625 ; 15 ; -20 ; 20 ; 5 ; -20
750 ; 10 ; -15 ; 25 ; 20 ; 0
875 ; 15 ; -15 ; 15 ; 5 ; -10
1000 ; 15 ; -10 ; 10 ; 0 ; -10
1125 ; 5 ; -10 ; 15 ; 10 ; -5
1250 ; 10 ; -15 ; 5 ; 0 ; -5
1375 ; 10 ; -10 ; 15 ; 5 ; 0
1500 ; 0 ; -10 ; 10 ; -5 ; -10
1625 ; 10 ; -15 ; 5 ; 0 ; -10
1750 ; 0 ; -15 ; 0 ; 0 ; -10
1875 ; 5 ; -10 ; 10 ; -5 ; -20
2000 ; 10 ; -10 ; 0 ; 0 ; -15
2125 ; 10 ; 0 ; 0 ; -5 ; -5
2250 ; 10 ; 0 ; 5 ; -5 ; -10
2375 ; 5 ; 0 ; 0 ; 5 ; -5
2500 ; 0 ; 0 ; 0 ; 0 ; -5
2625 ; 10 ; -5 ; 5 ; -10 ; -5
2750 ; 5 ; 0 ; 0 ; -10 ; 0
2875 ; 0 ; 0 ; 0 ; -10 ; -5
3000 ; 5 ; -5 ; -5 ; -5 ; -5
3125 ; 0 ; 0 ; -5 ; 0 ; -5
3250 ; 15 ; 0 ; 0 ; -10 ; -10
3375 ; 5 ; -5 ; -10 ; -5 ; -5
3500 ; 10 ; -5 ; -10 ; -10 ; -5
3625 ; 5 ; 0 ; 0 ; -10 ; -10
3750 ; 5 ; -5 ; -10 ; -10 ; -15
3875 ; 10 ; 0 ; -5 ; -10 ; 0
4000 ; 5 ; -5 ; -5 ; -15 ; -5
4125 ; -5 ; 5 ; -10 ; -5 ; -5
4250 ; 0 ; 0 ; -10 ; -5 ; -5
4375 ; 5 ; -5 ; -15 ; -10 ; -10
4500 ; 0 ; 5 ; -5 ; -5 ; -5
4625 ; 0 ; -5 ; -10 ; -10 ; -10
4750 ; 5 ; -5 ; -15 ; -5 ; -10
4875 ; 10 ; 0 ; 0 ; -10 ; -10
5000 ; 10 ; 0 ; 0 ; -10 ; -15
5125 ; 15 ; -10 ; -10 ; -15 ; -5
5250 ; 10 ; 0 ; -5 ; -15 ; 5
5375 ; 0 ; 0 ; 0 ; -5 ; 5
5500 ; 0 ; 0 ; 0 ; -5 ; 0
