Model ; X100+Option
Layout Type ; 0
Data Offset ; 23
Date ; 2019-07-18
Time ; 15:45:00

Time Base ; 5 ms/div
Sensitivity ; 100 uV/div
Pan ; 0 ms
Curve no ; 1-5
Common BaseLine ; Off
Lower Frequency Limit ; 100 Hz
Upper Frequency Limit ; 5 kHz
Trigger Mode ; Stimulus

Curve no ; 1 ; 2 ; 3 ; 4 ; 5
Session Id ; 0 ; 0 ; 0 ; 0 ; 0
Entry Id ; 0 ; 0 ; 0 ; 0 ; 0
Data Code ; 1 ; 1 ; 1 ; 1 ; 1
Amplitude (%) ; 0 ; 0 ; 0 ; 0 ; 0
di/dt (A/us) ; 0 ; 0 ; 0 ; 0 ; 0
(us) ; (uV) ; (uV) ; (uV) ; (uV) ; (uV)
0 ; 0 ; 0 ; 0 ; 0 ; 0
125 ; -465 ; -485 ; -465 ; -540 ; -415
250 ; 285 ; 260 ; 255 ; 310 ; 275
375 ; 5 ; -10 ; 0 ; -5 ; 20
500 ; -5 ; -5 ; -5 ; -10 ; -20
625 ; -5 ; -5 ; -5 ; -5 ; -25
750 ; -10 ; -5 ; 0 ; 0 ; -30
875 ; -5 ; -5 ; -5 ; 0 ; -30
1000 ; -10 ; 0 ; -5 ; 0 ; -30
1125 ; -10 ; -5 ; 5 ; 0 ; -30
1250 ; -5 ; -5 ; 0 ; 0 ; -25
1375 ; -5 ; 0 ; -5 ; -10 ; -30
1500 ; -10 ; -5 ; 0 ; -5 ; -20
1625 ; -10 ; -5 ; -5 ; -5 ; -20
1750 ; -5 ; 0 ; -10 ; -10 ; -20
1875 ; -5 ; -5 ; -5 ; -5 ; -15
2000 ; -10 ; -5 ; -10 ; -5 ; -15
2125 ; -5 ; -10 ; -5 ; -10 ; -10
2250 ; -5 ; -5 ; -5 ; -5 ; -5
2375 ; -5 ; -10 ; -5 ; -10 ; -5
2500 ; -5 ; -10 ; -10 ; -10 ; -5
2625 ; -5 ; -5 ; -10 ; -10 ; -15
2750 ; -5 ; -10 ; -5 ; -5 ; -10
2875 ; -10 ; -10 ; -10 ; -10 ; -5
3000 ; -5 ; 0 ; -5 ; -5 ; -15
3125 ; -5 ; -10 ; -5 ; 0 ; -5
3250 ; -10 ; -5 ; -5 ; -5 ; -5
3375 ; 0 ; -5 ; -5 ; -5 ; 0
3500 ; -5 ; -5 ; -5 ; 0 ; -5
3625 ; -5 ; -5 ; -5 ; -10 ; 0
3750 ; 0 ; -5 ; -5 ; -5 ; 0
3875 ; -5 ; 0 ; 0 ; -5 ; -10
4000 ; -5 ; -5 ; -5 ; -5 ; 0
4125 ; -5 ; -5 ; -10 ; -10 ; 0
4250 ; -5 ; 0 ; -5 ; -5 ; -5
4375 ; -5 ; -10 ; -5 ; 0 ; -5
4500 ; -10 ; -5 ; -10 ; -5 ; -5
4625 ; 0 ; 0 ; 0 ; -5 ; 0
4750 ; -5 ; -5 ; -5 ; 0 ; -5
4875 ; -10 ; -5 ; -5 ; -5 ; 0
5000 ; -5 ; 0 ; 0 ; -5 ; 5
5125 ; -10 ; 0 ; 0 ; -5 ; -5
5250 ; -10 ; -5 ; -5 ; -5 ; 0
5375 ; -10 ; 0 ; -10 ; -5 ; 5
5500 ; -5 ; 0 ; 0 ; -5 ; 0
